bouwjaar,woningtype,epi_imputed,epi_pc6_average
2003,meergezinspand_hoog,1.45,1.2867619083041237
2003,meergezinspand_hoog,1.38,1.2867619083041237
1886,meergezinspand_laag_midden,1.2,1.2873658683241866
1993,tussenwoning,1.2,1.2156875431537628
1900,meergezinspand_laag_midden,1.451,1.7595333218574525
1964,meergezinspand_laag_midden,1.62,1.88711427961077
1859,meergezinspand_laag_midden,1.451,1.9187692220394428
1890,meergezinspand_hoog,2.184,1.680999994277954
1886,meergezinspand_hoog,1.785,2.18222220076455
2004,meergezinspand_hoog,1.29,1.1711555533938938
1982,meergezinspand_laag_midden,1.451,1.350600004196167
1932,meergezinspand_laag_midden,1.785,1.8817999958992004
2018,tussenwoning,0.938,2.2784347948820693
1952,meergezinspand_hoog,1.785,1.5204999844233196
1950,meergezinspand_hoog,1.91,2.319624980290731
1964,meergezinspand_hoog,2.612,2.3886956546617593
1961,meergezinspand_hoog,1.2,1.7477999925613403
1995,meergezinspand_hoog,1.451,1.3932131050062961
1956,meergezinspand_hoog,1.785,1.6179999709129333
1959,meergezinspand_hoog,1.785,2.0345454812049866
1960,meergezinspand_hoog,1.451,1.6556666592756908
1957,meergezinspand_hoog,1.785,1.8012499809265137
2002,tussenwoning,0.938,0.9816666940848032
1965,meergezinspand_hoog,2.184,1.954499989748001
1974,meergezinspand_hoog,1.2,1.2000000476837158
1982,meergezinspand_laag_midden,1.2,1.346416672070821
1982,meergezinspand_laag_midden,1.2,1.3352222283681234
1982,meergezinspand_laag_midden,1.2,1.3352222283681234
1991,meergezinspand_laag_midden,1.26,1.3165517182185733
1977,meergezinspand_hoog,2.612,1.9272307524314294
1994,tussenwoning,1.2,1.1563333769639332
2013,meergezinspand_hoog,1.2,1.1906429039580482
1911,meergezinspand_laag_midden,1.451,2.0558888647291393
1898,meergezinspand_laag_midden,1.785,2.1141142725944517
1909,meergezinspand_laag_midden,3.237,1.8022438985545461
1913,tussenwoning,3.237,2.002481480439504
1930,hoekwoning,1.451,1.683199977874756
1968,meergezinspand_hoog,1.785,1.4523465479954634
1914,meergezinspand_laag_midden,1.2,1.271666685740153
1988,meergezinspand_laag_midden,1.2,1.0405357437474387
